OBJECTID,FD_ID,DEPT_NAME,STATION_NUMBER,STATION_ADDRESS,CITY,STATE,COUNTY,ZIP_CODE,LATITUDE,LONGITUDE,x,y
31457,01268,"Lake James Fire and Rescue, Inc.",1,3222 Hwy. 126,Morganton,NC,Burke,28655,35.77293503,-81.81283603,-81.81283603,35.77293503
31458,04415,"Lake Logan-Cecil Volunteer Fire Department, Inc.",1,4291 Lake Logan Road,Canton,NC,Haywood,28716,35.43,-82.9205,-82.9204999999999,35.4300000000001
31459,04415,"Lake Logan-Cecil Volunteer Fire Department, Inc.",2,5384 Pigeon Rd.,Canton,NC,Haywood,28716,35.46955717,-82.90012899,-82.90012899,35.46955717
31460,08117,Lake Lure Fire Department,1,622 Memorial Hwy,Lake Lure,NC,Rutherford,28746,35.42032625,-82.18784577,-82.18784577,35.4203262500001
31461,08117,Lake Lure Fire Department,2,1415 Buffalo Creek Rd,Lake Lure,NC,Rutherford,28746,35.46220839,-82.18825953,-82.18825953,35.4622083900001
31462,04904,Lake Norman Volunteer Fire and Rescue Department,1,1518 Brawley School Road,Mooresville,NC,Iredell,28117,35.55577156,-80.92426437,-80.9242643699999,35.55577156
31463,09402,Lake Phelps Volunteer Fire Department,1,9688 Newland Road,Creswell,NC,Washington,27928,35.8304,-76.4655,-76.4655,35.8304000000001
31464,06210,"Lake Tillery Fire and Rescue, Inc.",1,7913 NC Hwy 73 West,Mount Gilead,NC,Montgomery,27306,35.30248479,-80.07362105,-80.07362105,35.3024847900001
31465,06210,"Lake Tillery Fire and Rescue, Inc.",2,1853 Lilly's Bridge Road,Mt. Gilead,NC,Montgomery,27306,35.2559,-80.0732,-80.0732,35.2559000000001
31466,08808,"Lake Toxaway Fire Rescue, Inc.",1,850 Blue Ridge Rd,Lake Toxaway,NC,Transylvania,28747,35.13666232,-82.93191458,-82.93191458,35.13666232
31467,08808,"Lake Toxaway Fire Rescue, Inc.",2,599 Whitewater Rd,Sapphire,NC,Transylvania,28774,35.1049,-82.9589,-82.9589,35.1049
31468,02421,Lake Waccamaw Fire and Rescue Department,1,203 Flemington Dr.,Lake Waccamaw,NC,Columbus,28450,34.319619,-78.52232005,-78.52232005,34.319619
31469,02421,Lake Waccamaw Fire and Rescue Department,2,1741 Dupree Landing Rd.,Lake Waccamaw,NC,Columbus,28450,34.29333736,-78.55648781,-78.55648781,34.2933373600001
31470,08058,"Landis Municipal Fire Department, Inc.",1,136 N. Central Ave.,Landis,NC,Rowan,28088,35.54692144,-80.60832146,-80.60832146,35.5469214400001
31471,08058,"Landis Municipal Fire Department, Inc.",2,312 S. Main Street,Landis,NC,Rowan,28088,35.54460577,-80.61340496,-80.61340496,35.54460577
31472,09007,"Lanes Creek Volunteer Fire Department, Inc.",1,7608 Landsford Road,Monroe,NC,Union,28112,34.83875597,-80.43143522,-80.43143522,34.8387559700001
31473,00503,"Lansing Volunteer Fire & Rescue, Inc.",1,9281 Hwy 194 North,Lansing,NC,Ashe,28643,36.4983,-81.5105,-81.5105,36.4983
31474,00503,"Lansing Volunteer Fire & Rescue, Inc.",2,241 Old Helton School Road,Lansing ,NC,Ashe,28643,36.553826,-81.496613,-81.496613,36.5538260000001
31475,06609,"Lasker Volunteer Fire Department, Incorporated",1,112 West Church St.,Lasker,NC,Northampton,27848,36.34971296,-77.3085,-77.3085,36.34971296
31476,08305,"Laurel Hill Fire Department, Inc.",1,9200 Old Wire Rd,Laurel Hill,NC,Scotland,28351,34.81340311,-79.54731073,-79.5473107299999,34.81340311
31477,00304,"Laurel Springs Volunteer Fire Department, Inc.",1,12509 HWY 18 S.,Laurel Springs,NC,Alleghany,28644,36.4126,-81.263,-81.263,36.4126000000001
31478,05806,"Laurel Volunteer Fire Department, Inc.",1,4949 NC Hwy.212,Marshall,NC,Madison,28753,35.96504328,-82.70101609,-82.7010160899999,35.96504328
31479,05806,"Laurel Volunteer Fire Department, Inc.",2,127 Big Creek Rd,Marshall,NC,Madison,28753,36.007327,-82.641779,-82.641779,36.007327
